date,confirmed,tests,deaths,recovered,active,confirmed_div_by_tests,deaths_div_by_confirmed,recovered_div_by_confirmed,confirmed_per_mil,tests_per_mil,deaths_per_mil,recovered_per_mil,active_per_mil
2020-02-11,,61.0,,,,,,,,1.03,,,
2020-02-13,,67.0,,,,,,,,1.13,,,
2020-02-14,,71.0,,,,,,,,1.2,,,
2020-02-19,,95.0,,,,,,,,1.6,,,
2020-02-20,,106.0,,,,,,,,1.79,,,
2020-02-24,,116.0,,,,,,,,1.96,,,
2020-02-26,,121.0,,,,,,,,2.04,,,
2020-03-02,,160.0,,,,,,,,2.7,,,
2020-03-03,,164.0,,,,,,,,2.77,,,
2020-03-05,1.0,,,,,,,,0.02,,,,
2020-03-06,,200.0,,,,,,,,3.38,,,
2020-03-07,2.0,241.0,,,,0.008,,,0.03,4.07,,,
2020-03-08,3.0,,,,,,,,0.05,,,,
2020-03-09,7.0,,,,,,,,0.12,,,,
2020-03-11,13.0,645.0,,,,0.02,,,0.22,10.9,,,
2020-03-12,16.0,848.0,,,,0.019,,,0.27,14.33,,,
2020-03-13,24.0,924.0,,,,0.026,,,0.41,15.61,,,
2020-03-14,38.0,1017.0,,,,0.037,,,0.64,17.18,,,
2020-03-15,51.0,1476.0,,,,0.035,,,0.86,24.93,,,
2020-03-16,62.0,2405.0,,,62.0,0.026,,,1.05,40.63,,,1.05
2020-03-17,85.0,2911.0,,,85.0,0.029,,,1.44,49.18,,,1.44
2020-03-18,116.0,3070.0,,,116.0,0.038,,,1.96,51.86,,,1.96
2020-03-19,150.0,4832.0,,,150.0,0.031,,,2.53,81.63,,,2.53
2020-03-20,202.0,6438.0,,,202.0,0.031,,,3.41,108.76,,,3.41
2020-03-21,240.0,7425.0,,,240.0,0.032,,,4.05,125.43,,,4.05
2020-03-22,274.0,9315.0,,,274.0,0.029,,,4.63,157.36,,,4.63
2020-03-23,402.0,12815.0,,,402.0,0.031,,,6.79,216.49,,,6.79
2020-03-24,554.0,15529.0,,,554.0,0.036,,,9.36,262.33,,,9.36
2020-03-25,709.0,15529.0,,,709.0,0.046,,,11.98,262.33,,,11.98
2020-03-26,927.0,20471.0,,,927.0,0.045,,,15.66,345.82,,,15.66
2020-03-27,1170.0,28537.0,1.0,,1169.0,0.041,0.001,,19.76,482.08,0.02,,19.75
2020-03-28,1187.0,31963.0,2.0,,1185.0,0.037,0.002,,20.05,539.95,0.03,,20.02
2020-03-29,1280.0,35593.0,,,1278.0,0.036,,,21.62,601.28,,,21.59
2020-03-30,1326.0,38409.0,3.0,,1323.0,0.035,0.002,,22.4,648.85,0.05,,22.35
2020-03-31,1353.0,41072.0,5.0,,1348.0,0.033,0.004,,22.86,693.83,0.08,,22.77
2020-04-01,1380.0,44292.0,,,1375.0,0.031,,,23.31,748.23,,,23.23
2020-04-02,1462.0,47965.0,,,1457.0,0.03,,,24.7,810.28,,,24.61
2020-04-03,1505.0,50361.0,9.0,,1496.0,0.03,0.006,,25.42,850.75,0.15,,25.27
2020-04-04,1585.0,53937.0,,,1576.0,0.029,,,26.78,911.16,,,26.62
2020-04-05,1655.0,56873.0,11.0,,1644.0,0.029,0.007,,27.96,960.76,0.19,,27.77
2020-04-06,1686.0,58098.0,12.0,,1674.0,0.029,0.007,,28.48,981.46,0.2,,28.28
2020-04-07,1749.0,58098.0,13.0,,1736.0,0.03,0.007,,29.55,981.46,0.22,,29.33
2020-04-08,1845.0,63776.0,18.0,,1827.0,0.029,0.01,,31.17,1077.38,0.3,,30.86
2020-04-09,1934.0,68874.0,18.0,,1916.0,0.028,0.009,,32.67,1163.5,0.3,,32.37
2020-04-10,2003.0,73028.0,24.0,,1979.0,0.027,0.012,,33.84,1233.67,0.41,,33.43
2020-04-11,2028.0,75053.0,25.0,,2003.0,0.027,0.012,,34.26,1267.88,0.42,,33.84
2020-04-12,2173.0,80085.0,25.0,,2148.0,0.027,0.012,,36.71,1352.88,0.42,,36.29
2020-04-13,2272.0,83663.0,27.0,,2245.0,0.027,0.012,,38.38,1413.33,0.46,,37.93
2020-04-14,2415.0,87022.0,27.0,,2388.0,0.028,0.011,,40.8,1470.07,0.46,,40.34
2020-04-15,2506.0,90515.0,34.0,,2472.0,0.028,0.014,,42.33,1529.08,0.57,,41.76
2020-04-16,2605.0,95060.0,48.0,,2557.0,0.027,0.018,,44.01,1605.86,0.81,,43.2
2020-04-17,2783.0,100827.0,50.0,903.0,1830.0,0.028,0.018,0.324,47.01,1703.28,0.84,15.25,30.91
2020-04-18,3034.0,108201.0,52.0,903.0,2079.0,0.028,0.017,0.298,51.25,1827.85,0.88,15.25,35.12
2020-04-19,3158.0,114711.0,54.0,903.0,2201.0,0.028,0.017,0.286,53.35,1937.83,0.91,15.25,37.18
2020-04-20,3300.0,121510.0,58.0,1055.0,2187.0,0.027,0.018,0.32,55.75,2052.68,0.98,17.82,36.95
2020-04-21,3465.0,126937.0,58.0,1055.0,2352.0,0.027,0.017,0.304,58.53,2144.36,0.98,17.82,39.73
2020-04-22,3635.0,133774.0,65.0,1055.0,2515.0,0.027,0.018,0.29,61.41,2259.86,1.1,17.82,42.49
2020-04-23,3953.0,143570.0,75.0,1473.0,2405.0,0.028,0.019,0.373,66.78,2425.34,1.27,24.88,40.63
2020-04-24,4220.0,152390.0,79.0,1473.0,2668.0,0.028,0.019,0.349,71.29,2574.34,1.33,24.88,45.07
2020-04-25,4361.0,161004.0,86.0,1473.0,2802.0,0.027,0.02,0.338,73.67,2719.86,1.45,24.88,47.33
2020-04-26,4546.0,168643.0,87.0,1473.0,2986.0,0.027,0.019,0.324,76.8,2848.91,1.47,24.88,50.44
2020-04-27,4793.0,178470.0,90.0,1473.0,3230.0,0.027,0.019,0.307,80.97,3014.91,1.52,24.88,54.56
2020-04-28,4996.0,185497.0,93.0,1473.0,3430.0,0.027,0.019,0.295,84.4,3133.62,1.57,24.88,57.94
2020-04-29,5350.0,197127.0,103.0,,3774.0,0.027,0.019,,90.38,3330.09,1.74,,63.75
2020-04-30,5647.0,207530.0,103.0,,4071.0,0.027,0.018,,95.4,3505.83,1.74,,68.77
2020-05-01,5951.0,217522.0,116.0,,4362.0,0.027,0.019,,100.53,3674.62,1.96,,73.69
2020-05-02,6336.0,230686.0,123.0,2549.0,3664.0,0.027,0.019,0.402,107.03,3897.0,2.08,43.06,61.9
2020-05-03,6783.0,245747.0,131.0,2549.0,4103.0,0.028,0.019,0.376,114.59,4151.43,2.21,43.06,69.31
2020-05-04,7220.0,257541.0,138.0,2746.0,4336.0,0.028,0.019,0.38,121.97,4350.67,2.33,46.39,73.25
2020-05-05,7572.0,268064.0,148.0,2746.0,4678.0,0.028,0.02,0.363,127.91,4528.44,2.5,46.39,79.03
2020-05-06,7808.0,279379.0,153.0,3153.0,4502.0,0.028,0.02,0.404,131.9,4719.58,2.58,53.26,76.05
2020-05-07,8232.0,292153.0,161.0,3153.0,4918.0,0.028,0.02,0.383,139.06,4935.37,2.72,53.26,83.08
2020-05-08,8895.0,307752.0,178.0,3153.0,5564.0,0.029,0.02,0.354,150.26,5198.89,3.01,53.26,93.99
2020-05-09,9420.0,324079.0,186.0,,6081.0,0.029,0.02,,159.13,5474.7,3.14,,102.73
2020-05-10,10015.0,341336.0,194.0,4173.0,5648.0,0.029,0.019,0.417,169.18,5766.23,3.28,70.49,95.41
2020-05-11,10652.0,356067.0,206.0,,6273.0,0.03,0.019,,179.95,6015.08,3.48,,105.97
2020-05-12,11350.0,369697.0,206.0,,6971.0,0.031,0.018,,191.74,6245.33,3.48,,117.76
2020-05-13,12074.0,386352.0,219.0,4745.0,7110.0,0.031,0.018,0.393,203.97,6526.69,3.7,80.16,120.11
2020-05-14,12739.0,403018.0,238.0,5676.0,6825.0,0.032,0.019,0.446,215.2,6808.23,4.02,95.89,115.3
2020-05-15,13524.0,421555.0,247.0,6083.0,7194.0,0.032,0.018,0.45,228.46,7121.38,4.17,102.76,121.53
2020-05-16,14355.0,439559.0,261.0,6478.0,7616.0,0.033,0.018,0.451,242.5,7425.52,4.41,109.43,128.66
2020-05-17,15515.0,460873.0,264.0,7006.0,8245.0,0.034,0.017,0.452,262.1,7785.58,4.46,118.35,139.28
2020-05-18,16433.0,475071.0,286.0,7298.0,8849.0,0.035,0.017,0.444,277.6,8025.43,4.83,123.29,149.49
2020-05-19,17200.0,488609.0,312.0,7960.0,8928.0,0.035,0.018,0.463,290.56,8254.13,5.27,134.47,150.82
2020-05-20,18003.0,505861.0,339.0,8950.0,8714.0,0.036,0.019,0.497,304.13,8545.57,5.73,151.19,147.21
2020-05-21,19137.0,525433.0,369.0,8950.0,9818.0,0.036,0.019,0.468,323.28,8876.2,6.23,151.19,165.86
2020-05-22,20125.0,543032.0,397.0,10104.0,9624.0,0.037,0.02,0.502,339.97,9173.5,6.71,170.69,162.58
2020-05-23,21343.0,564370.0,407.0,10104.0,10832.0,0.038,0.019,0.473,360.55,9533.97,6.88,170.69,182.99
2020-05-24,22583.0,583855.0,429.0,11100.0,11054.0,0.039,0.019,0.492,381.5,9863.13,7.25,187.51,186.74
2020-05-25,23615.0,596777.0,481.0,11917.0,11217.0,0.04,0.02,0.505,398.93,10081.42,8.13,201.32,189.49
2020-05-26,24264.0,605991.0,524.0,12741.0,10999.0,0.04,0.022,0.525,409.89,10237.07,8.85,215.24,185.81
2020-05-27,25937.0,634996.0,552.0,13451.0,11934.0,0.041,0.021,0.519,438.16,10727.06,9.32,227.23,201.6
2020-05-28,27403.0,655723.0,577.0,14370.0,12456.0,0.042,0.021,0.524,462.92,11077.2,9.75,242.75,210.42
2020-05-29,29240.0,680175.0,611.0,15093.0,13536.0,0.043,0.021,0.516,493.95,11490.27,10.32,254.97,228.67
2020-05-30,30967.0,701883.0,643.0,16116.0,14208.0,0.044,0.021,0.52,523.13,11856.99,10.86,272.25,240.02
2020-05-31,32683.0,725125.0,683.0,16809.0,15191.0,0.045,0.021,0.514,552.12,12249.62,11.54,283.96,256.62
2020-06-01,34357.0,742742.0,705.0,17291.0,16361.0,0.046,0.021,0.503,580.4,12547.22,11.91,292.1,276.39
2020-06-02,35812.0,761534.0,755.0,18313.0,16744.0,0.047,0.021,0.511,604.98,12864.68,12.75,309.36,282.86
2020-06-03,37525.0,785979.0,792.0,19682.0,17051.0,0.048,0.021,0.525,633.91,13277.63,13.38,332.49,288.04
2020-06-04,40792.0,820675.0,848.0,21311.0,18633.0,0.05,0.021,0.522,689.1,13863.76,14.33,360.01,314.77
2020-06-05,43434.0,850871.0,908.0,23088.0,19438.0,0.051,0.021,0.532,733.74,14373.86,15.34,390.03,328.37
2020-06-06,45973.0,891668.0,952.0,24258.0,20763.0,0.052,0.021,0.528,776.63,15063.05,16.08,409.79,350.75
2020-06-07,48285.0,920064.0,998.0,24364.0,22923.0,0.052,0.021,0.505,815.68,15542.75,16.86,411.58,387.24
2020-06-08,50879.0,943059.0,1080.0,26099.0,23700.0,0.054,0.021,0.513,859.5,15931.2,18.24,440.89,400.37
2020-06-09,52991.0,968070.0,1162.0,29006.0,22823.0,0.055,0.022,0.547,895.18,16353.72,19.63,490.0,385.55
2020-06-10,55421.0,998400.0,1210.0,31505.0,22706.0,0.056,0.022,0.568,936.23,16866.08,20.44,532.22,383.58
2020-06-11,58568.0,1028399.0,1284.0,31505.0,25779.0,0.057,0.022,0.538,989.4,17372.86,21.69,532.22,435.49
2020-06-12,61927.0,1060425.0,1354.0,35008.0,25565.0,0.058,0.022,0.565,1046.14,17913.88,22.87,591.39,431.87
2020-06-13,65736.0,1087887.0,1423.0,36850.0,27463.0,0.06,0.022,0.561,1110.49,18377.8,24.04,622.51,463.94
2020-06-14,70038.0,1121958.0,1480.0,38531.0,30027.0,0.062,0.021,0.55,1183.16,18953.36,25.0,650.91,507.25
2020-06-15,73533.0,1148933.0,1568.0,39867.0,32098.0,0.064,0.021,0.542,1242.2,19409.06,26.49,673.48,542.24
2020-06-16,76334.0,1172513.0,1625.0,42063.0,32646.0,0.065,0.021,0.551,1289.52,19807.39,27.45,710.58,551.49
2020-06-17,80412.0,1207360.0,1674.0,44331.0,34407.0,0.067,0.021,0.551,1358.41,20396.07,28.28,748.89,581.24
2020-06-18,83890.0,1228098.0,1737.0,44920.0,37233.0,0.068,0.021,0.535,1417.16,20746.4,29.34,758.84,628.98
2020-06-19,87715.0,1260434.0,1831.0,47825.0,38059.0,0.07,0.021,0.545,1481.78,21292.65,30.93,807.91,642.93
2020-06-20,92681.0,1293608.0,1877.0,50326.0,40478.0,0.072,0.02,0.543,1565.67,21853.07,31.71,850.16,683.8
2020-06-21,97302.0,1328060.0,1930.0,51608.0,43764.0,0.073,0.02,0.53,1643.73,22435.07,32.6,871.82,739.31
2020-06-22,101590.0,1353176.0,1991.0,53444.0,46155.0,0.075,0.02,0.526,1716.17,22859.36,33.63,902.84,779.7
2020-06-23,106108.0,1382772.0,2101.0,55045.0,48962.0,0.077,0.02,0.519,1792.49,23359.32,35.49,929.88,827.12
2020-06-24,111796.0,1416894.0,2205.0,56874.0,52717.0,0.079,0.02,0.509,1888.58,23935.75,37.25,960.78,890.55
2020-06-25,118375.0,1460012.0,2292.0,59974.0,56109.0,0.081,0.019,0.507,1999.72,24664.15,38.72,1013.15,947.86
2020-06-26,124590.0,1493104.0,2340.0,64111.0,58139.0,0.083,0.019,0.515,2104.71,25223.17,39.53,1083.03,982.15
2020-06-27,131800.0,1529009.0,2413.0,67094.0,62293.0,0.086,0.018,0.509,2226.51,25829.72,40.76,1133.43,1052.32
2020-06-28,138134.0,1567084.0,2456.0,68925.0,66753.0,0.088,0.018,0.499,2333.51,26472.93,41.49,1164.36,1127.67
2020-06-29,144264.0,1596995.0,2529.0,70614.0,71121.0,0.09,0.018,0.489,2437.07,26978.22,42.72,1192.89,1201.46
2020-06-30,151209.0,1630008.0,2657.0,73543.0,75009.0,0.093,0.018,0.486,2554.39,27535.91,44.89,1242.37,1267.14
2020-07-01,159333.0,1666939.0,2749.0,76025.0,80559.0,0.096,0.017,0.477,2691.63,28159.79,46.44,1284.3,1360.89
2020-07-02,168061.0,1706127.0,2844.0,81999.0,83218.0,0.099,0.017,0.488,2839.07,28821.8,48.04,1385.22,1405.81
2020-07-03,177124.0,1745153.0,2952.0,86298.0,87874.0,0.101,0.017,0.487,2992.18,29481.07,49.87,1457.84,1484.47
2020-07-04,187977.0,1792078.0,3026.0,91227.0,93724.0,0.105,0.016,0.485,3175.52,30273.78,51.12,1541.11,1583.29
2020-07-05,196750.0,1830161.0,3199.0,93315.0,100236.0,0.108,0.016,0.474,3323.72,30917.12,54.04,1576.38,1693.3
2020-07-06,205721.0,1864111.0,3310.0,97848.0,104563.0,0.11,0.016,0.476,3475.27,31490.64,55.92,1652.96,1766.39
2020-07-07,215855.0,1907532.0,3502.0,102299.0,110054.0,0.113,0.016,0.474,3646.46,32224.15,59.16,1728.15,1859.15
2020-07-08,224665.0,1944399.0,3602.0,106842.0,114221.0,0.116,0.016,0.476,3795.29,32846.95,60.85,1804.89,1929.55
2020-07-09,238339.0,2000569.0,3720.0,113061.0,121558.0,0.119,0.016,0.474,4026.29,33795.84,62.84,1909.95,2053.49
2020-07-10,250687.0,2057232.0,3860.0,118232.0,128595.0,0.122,0.015,0.472,4234.88,34753.05,65.21,1997.31,2172.37
2020-07-11,264184.0,2108570.0,3971.0,127715.0,132498.0,0.125,0.015,0.483,4462.89,35620.31,67.08,2157.5,2238.3
2020-07-12,276242.0,2154391.0,4079.0,134874.0,137289.0,0.128,0.015,0.488,4666.59,36394.37,68.91,2278.44,2319.24
2020-07-13,287796.0,2194624.0,4172.0,138241.0,145383.0,0.131,0.014,0.48,4861.77,37074.03,70.48,2335.32,2455.97
2020-07-14,298292.0,2232738.0,4346.0,146279.0,147667.0,0.134,0.015,0.49,5039.08,37717.9,73.42,2471.11,2494.56
2020-07-15,311049.0,2278127.0,4453.0,160693.0,145903.0,0.137,0.014,0.517,5254.59,38484.66,75.23,2714.61,2464.76
2020-07-16,324221.0,2324923.0,4669.0,165591.0,153961.0,0.139,0.014,0.511,5477.1,39275.19,78.87,2797.35,2600.88
2020-07-17,337594.0,2373053.0,4804.0,178183.0,154607.0,0.142,0.014,0.528,5703.01,40088.25,81.15,3010.07,2611.79
2020-07-18,350879.0,2422741.0,4948.0,182230.0,163701.0,0.145,0.014,0.519,5927.44,40927.64,83.59,3078.43,2765.42
2020-07-19,364328.0,2471747.0,5033.0,191059.0,168236.0,0.147,0.014,0.524,6154.63,41755.5,85.02,3227.58,2842.03
2020-07-20,373628.0,2505646.0,5173.0,194865.0,173590.0,0.149,0.014,0.522,6311.74,42328.16,87.39,3291.88,2932.48
2020-07-21,381798.0,2536921.0,5368.0,208144.0,168286.0,0.15,0.014,0.545,6449.76,42856.49,90.68,3516.2,2842.87
2020-07-22,394948.0,2585474.0,5940.0,229175.0,159833.0,0.153,0.015,0.58,6671.9,43676.71,100.35,3871.48,2700.08
2020-07-23,408052.0,2632106.0,6093.0,236260.0,165699.0,0.155,0.015,0.579,6893.27,44464.46,102.93,3991.17,2799.17
2020-07-24,421996.0,2684488.0,6343.0,245771.0,169882.0,0.157,0.015,0.582,7128.83,45349.36,107.15,4151.84,2869.84
2020-07-25,434200.0,2730812.0,6655.0,263054.0,164491.0,0.159,0.015,0.606,7334.99,46131.92,112.42,4443.8,2778.77
2020-07-26,445433.0,2773778.0,6769.0,265077.0,173587.0,0.161,0.015,0.595,7524.75,46857.75,114.35,4477.98,2932.42
2020-07-27,452529.0,2802211.0,7067.0,274925.0,170537.0,0.161,0.016,0.608,7644.62,47338.07,119.38,4644.34,2880.9
2020-07-28,459761.0,2830635.0,7257.0,287313.0,165191.0,0.162,0.016,0.625,7766.79,47818.24,122.59,4853.61,2790.59
2020-07-29,471123.0,2873163.0,7497.0,297967.0,165659.0,0.164,0.016,0.632,7958.73,48536.67,126.65,5033.59,2798.5
2020-07-30,482169.0,2918049.0,7812.0,309601.0,164756.0,0.165,0.016,0.642,8145.34,49294.93,131.97,5230.12,2783.24
2020-07-31,493183.0,2959535.0,8005.0,326171.0,159007.0,0.167,0.016,0.661,8331.4,49995.76,135.23,5510.04,2686.12
2020-08-01,503290.0,3001985.0,8153.0,342461.0,152676.0,0.168,0.016,0.68,8502.13,50712.87,137.73,5785.23,2579.17
2020-08-02,511485.0,3036779.0,8366.0,347227.0,155892.0,0.168,0.016,0.679,8640.57,51300.65,141.33,5865.75,2633.5
2020-08-03,516862.0,3058695.0,8539.0,358037.0,150286.0,0.169,0.017,0.693,8731.41,51670.88,144.25,6048.36,2538.8
2020-08-04,521318.0,3078202.0,8884.0,363751.0,148683.0,0.169,0.017,0.698,8806.68,52000.41,150.08,6144.89,2511.72
